contract,tenure_band,internetservice,paymentmethod,customers,churned_customers,avg_monthly_charges,revenue_at_risk,churn_rate
Month-to-month,0-6 Months,DSL,Bank transfer (automatic),42,18,48.83571428571428,816.0,0.42857142857142855
Month-to-month,0-6 Months,DSL,Credit card (automatic),52,21,49.70769230769231,1006.15,0.40384615384615385
Month-to-month,0-6 Months,DSL,Electronic check,209,119,45.63133971291867,5213.1,0.569377990430622
Month-to-month,0-6 Months,DSL,Mailed check,192,87,45.97057291666667,3964.4,0.453125
Month-to-month,0-6 Months,Fiber optic,Bank transfer (automatic),41,38,81.58536585365853,3098.65,0.926829268292683
Month-to-month,0-6 Months,Fiber optic,Credit card (automatic),42,29,80.81071428571428,2399.3,0.6904761904761905
Month-to-month,0-6 Months,Fiber optic,Electronic check,440,332,80.7990909090909,26920.8,0.7545454545454545
Month-to-month,0-6 Months,Fiber optic,Mailed check,96,60,79.35572916666666,4731.4,0.625
Month-to-month,0-6 Months,No,Bank transfer (automatic),27,7,20.24259259259259,146.75,0.25925925925925924
Month-to-month,0-6 Months,No,Credit card (automatic),25,3,20.11,60.55,0.12
Month-to-month,0-6 Months,No,Electronic check,31,9,20.048387096774192,179.35,0.2903225806451613
Month-to-month,0-6 Months,No,Mailed check,216,57,20.25740740740741,1144.85,0.2638888888888889
Month-to-month,13-24 Months,DSL,Bank transfer (automatic),39,7,54.70384615384615,382.45,0.1794871794871795
Month-to-month,13-24 Months,DSL,Credit card (automatic),44,9,52.371590909090905,456.45,0.20454545454545456
Month-to-month,13-24 Months,DSL,Electronic check,85,30,51.28823529411765,1449.35,0.35294117647058826
Month-to-month,13-24 Months,DSL,Mailed check,64,9,53.509375,477.15,0.140625
Month-to-month,13-24 Months,Fiber optic,Bank transfer (automatic),71,23,85.45985915492957,1976.85,0.323943661971831
Month-to-month,13-24 Months,Fiber optic,Credit card (automatic),62,28,86.6032258064516,2459.05,0.45161290322580644
Month-to-month,13-24 Months,Fiber optic,Electronic check,255,150,88.45019607843138,13353.65,0.5882352941176471
Month-to-month,13-24 Months,Fiber optic,Mailed check,37,14,86.8445945945946,1257.35,0.3783783783783784
Month-to-month,13-24 Months,No,Bank transfer (automatic),10,3,20.82,59.4,0.3
Month-to-month,13-24 Months,No,Credit card (automatic),15,1,20.90666666666667,25.4,0.06666666666666667
Month-to-month,13-24 Months,No,Electronic check,15,2,21.13,39.4,0.13333333333333333
Month-to-month,13-24 Months,No,Mailed check,40,2,20.384999999999998,43.8,0.05
Month-to-month,25-48 Months,DSL,Bank transfer (automatic),57,9,55.84649122807018,390.0,0.15789473684210525
Month-to-month,25-48 Months,DSL,Credit card (automatic),50,11,52.847,531.15,0.22
Month-to-month,25-48 Months,DSL,Electronic check,77,14,53.085064935064935,724.35,0.18181818181818182
Month-to-month,25-48 Months,DSL,Mailed check,43,2,53.90813953488372,110.25,0.046511627906976744
Month-to-month,25-48 Months,Fiber optic,Bank transfer (automatic),102,42,91.61911764705881,3889.0,0.4117647058823529
Month-to-month,25-48 Months,Fiber optic,Credit card (automatic),102,33,88.41029411764707,2929.3,0.3235294117647059
Month-to-month,25-48 Months,Fiber optic,Electronic check,286,140,92.53863636363636,12946.75,0.48951048951048953
Month-to-month,25-48 Months,Fiber optic,Mailed check,31,11,87.30322580645162,997.0,0.3548387096774194
Month-to-month,25-48 Months,No,Bank transfer (automatic),13,1,20.98846153846154,19.65,0.07692307692307693
Month-to-month,25-48 Months,No,Credit card (automatic),7,0,19.72142857142857,0.0,0.0
Month-to-month,25-48 Months,No,Electronic check,13,0,22.47307692307692,0.0,0.0
Month-to-month,25-48 Months,No,Mailed check,21,1,20.683333333333334,19.55,0.047619047619047616
Month-to-month,49+ Months,DSL,Bank transfer (automatic),22,2,52.53409090909091,95.6,0.09090909090909091
Month-to-month,49+ Months,DSL,Credit card (automatic),17,2,54.22941176470588,114.75,0.11764705882352941
